Z 轴振动速度,X 轴振动速度,Z 轴加速度峰值,X 轴加速度峰值,Z 轴峰值速度分量频率 Hz,X 轴峰值速度分量频率 Hz,Z 轴加速度均方根,X 轴加速度均方根
147,330,27,32,122,97,7,7
236,918,251,273,122,122,8,14
7019,17333,943,1807,97,708,324,729
5072,11350,1103,2431,146,146,231,298
3784,9363,1213,1852,244,146,227,301
162,411,28,31,97,97,6,8
9042,20514,1141,1533,170,122,270,369
6385,9591,981,1674,219,146,120,199
4188,13443,1392,2071,585,219,242,570
1924,7487,1044,1866,122,170,77,223
136,699,29,29,97,122,6,8
6815,48697,1108,1740,122,97,151,591
8594,30698,1190,1595,195,97,233,757
8288,38556,1094,1922,268,97,271,939
8288,38556,1094,1922,268,97,271,939
110,164,28,34,366,97,6,7
2957,21792,985,1583,268,122,102,527
2957,21792,985,1583,268,122,102,527
8089,47967,1099,1629,244,97,183,781
5565,21459,1100,1588,170,170,132,399
176,125,27,28,97,170,6,7
8246,61916,1094,1764,268,97,224,1148
7687,23944,1309,2049,195,195,233,674
8334,35855,1044,1785,268,97,244,816
1301,1254,1060,2005,122,97,52,128
4645,23755,1034,1691,170,97,136,404
5455,25358,1066,1707,268,97,152,430
137,510,30,30,146,170,6,9
16632,7179,1085,2030,97,97,209,356
16632,7179,1085,2030,97,97,209,356
8454,45793,960,1673,537,170,302,1127
6945,28246,1264,1689,561,97,218,697
16435,62142,1075,1800,146,146,208,637
18478,64641,787,1406,122,122,384,928
18478,64641,787,1406,122,122,384,928
19907,65535,902,1457,146,146,329,919
13700,49570,819,1703,146,146,281,758
8941,32525,816,1256,146,146,188,521
9281,34252,861,1384,170,170,197,570
10701,40370,828,1267,170,170,172,507
10169,38182,785,1171,146,146,181,520
7587,27962,889,1693,146,146,170,465
8257,30963,578,1143,146,146,154,423
10268,39888,719,1230,146,146,147,448
7958,29745,617,1330,122,122,166,464
11946,43968,598,1211,146,146,189,550
8810,34150,749,1380,146,146,150,439
960,1730,1501,2546,97,97,52,116
960,1730,1501,2546,97,97,52,116
960,1730,1501,2546,97,97,52,116
8821,29457,785,1696,122,122,169,439
11431,44593,755,1365,146,146,260,701
10620,38763,738,1294,170,97,226,602
8342,31865,732,1234,97,97,156,453
10555,39612,767,1141,122,122,266,731
7660,30743,849,1435,170,170,177,498
9307,33863,730,1275,146,146,184,512
9007,33080,799,1128,146,146,194,517
9007,33080,799,1128,146,146,194,517
8203,30313,762,1332,122,97,187,510
7203,27173,855,1579,146,146,158,454
6997,25186,641,1386,146,146,124,351
6266,21269,785,1040,146,146,165,427
4019,14344,781,1147,146,146,87,231
7683,27933,657,1104,146,146,137,383
6686,22872,593,1341,170,170,177,470
6700,21564,707,1093,122,122,181,477
11143,42696,630,1162,146,146,199,601
9478,35799,633,1071,146,146,170,498
8838,30768,861,1197,122,122,159,440
11570,43780,667,1137,146,146,184,529
10634,39771,603,1254,146,146,153,447
8835,33708,699,1296,146,146,137,393
7688,28324,850,1196,170,170,176,467
148,234,31,30,97,122,6,7
892,1632,1178,1411,97,97,53,108
9273,37875,817,1340,146,146,131,430
11458,46611,1115,1526,170,170,182,574
14916,58694,726,1311,146,146,190,626
23345,65535,919,1413,146,146,354,1043
14312,55979,995,1321,146,146,193,608
15697,59012,1132,1513,146,146,260,782
15697,59012,1132,1513,146,146,260,782
15948,61491,930,1383,146,146,213,665
15005,58261,781,1351,146,146,211,646
13523,50901,834,1264,122,122,214,621
6620,21868,2151,3263,122,146,296,384
10155,37949,811,1164,146,146,171,469
10155,37949,811,1164,146,146,171,469
10042,39012,780,1092,146,146,142,430
7733,30817,560,1061,97,170,117,342
11068,44543,654,1258,146,146,148,479
20502,65535,726,1216,146,146,284,847
17269,64332,699,1296,146,146,276,770
13153,49084,586,1006,146,146,197,577
11507,43600,620,1532,146,146,139,453
7143,28057,637,1403,122,122,109,343
17122,65402,883,1166,146,146,248,734
5749,23458,703,1288,97,97,93,276
12017,45420,766,1384,122,122,147,461
