Z 轴振动速度,X 轴振动速度,Z 轴加速度峰值,X 轴加速度峰值,Z 轴峰值速度分量频率 Hz,X 轴峰值速度分量频率 Hz,Z 轴加速度均方根,X 轴加速度均方根
1280,1971,330,310,97,1562,66,230
1280,1971,330,310,97,1562,66,230
1497,1554,1408,671,97,2490,68,201
1497,1554,1408,671,97,2490,68,201
1020,1212,110,321,97,1684,50,129
1020,1212,110,321,97,1684,50,129
996,1423,218,405,97,2465,63,165
996,1423,218,405,97,2465,63,165
1026,2027,117,349,97,1660,64,240
1114,2125,146,315,97,2465,64,297
1114,2125,146,315,97,2465,64,297
1208,1941,293,500,97,1562,59,196
1208,1941,293,500,97,1562,59,196
1068,1354,142,373,97,2465,58,151
1068,1354,142,373,97,2465,58,151
1011,1290,152,481,97,97,52,146
1011,1290,152,481,97,97,52,146
1210,2938,424,394,97,2465,81,361
1210,2938,424,394,97,2465,81,361
1084,2530,158,565,97,1538,76,261
1084,2530,158,565,97,1538,76,261
1099,1738,148,298,97,2539,66,229
1099,1738,148,298,97,2539,66,229
949,1987,299,813,97,1635,69,210
949,1987,299,813,97,1635,69,210
1042,1234,176,264,97,97,51,143
1042,1234,176,264,97,97,51,143
1276,3715,340,870,97,1635,89,436
1276,3715,340,870,97,1635,89,436
1248,2323,158,517,97,2465,85,304
1248,2323,158,517,97,2465,85,304
920,1381,386,628,97,97,58,160
920,1381,386,628,97,97,58,160
1105,1509,248,784,97,1635,66,184
1105,1509,248,784,97,1635,66,184
1023,1559,173,273,97,2587,69,202
1023,1559,173,273,97,2587,69,202
1503,4426,414,376,97,1635,109,496
1503,4426,414,376,97,1635,109,496
1072,2123,365,1287,97,1611,75,265
1072,2123,365,1287,97,1611,75,265
1256,1490,244,334,97,2490,62,191
1256,1490,244,334,97,2490,62,191
1066,1975,361,738,97,2465,54,256
1066,1975,361,738,97,2465,54,256
996,1383,173,617,97,1464,57,139
996,1383,173,617,97,1464,57,139
1161,2231,321,421,97,2441,72,290
1029,1402,150,297,97,2490,57,167
1029,1402,150,297,97,2490,57,167
1292,1498,776,509,97,97,64,183
1292,1498,776,509,97,97,64,183
971,1605,162,396,97,2612,82,228
971,1605,162,396,97,2612,82,228
1021,2032,132,319,97,2465,60,262
1021,2032,132,319,97,2465,60,262
1202,2444,156,407,97,1464,84,276
1202,2444,156,407,97,1464,84,276
1054,1256,296,823,97,2587,60,158
1054,1256,296,823,97,2587,60,158
1001,1730,201,343,97,1635,58,182
1001,1730,201,343,97,1635,58,182
949,1360,140,260,97,1440,59,156
949,1360,140,260,97,1440,59,156
1105,1516,323,1042,97,97,62,165
1105,1516,323,1042,97,97,62,165
1216,2526,102,280,97,1708,90,319
1216,2526,102,280,97,1708,90,319
1135,1841,371,1006,97,1611,65,211
1135,1841,371,1006,97,1611,65,211
1376,2196,338,523,97,2441,84,271
1376,2196,338,523,97,2441,84,271
1078,1791,409,733,97,1538,67,197
1078,1791,409,733,97,1538,67,197
1117,1434,229,654,97,2465,54,179
957,1709,211,312,97,1513,64,188
957,1709,211,312,97,1513,64,188
1023,1573,219,548,97,1635,64,184
1023,1573,219,548,97,1635,64,184
1004,1447,296,1056,97,1611,62,159
1004,1447,296,1056,97,1611,62,159
1153,2246,172,539,97,1440,64,217
1153,2246,172,539,97,1440,64,217
967,1460,483,784,97,2441,55,180
967,1460,483,784,97,2441,55,180
940,1679,106,330,97,1635,60,209
940,1679,106,330,97,1635,60,209
1022,1706,298,508,97,2465,60,216
1022,1706,298,508,97,2465,60,216
1160,2630,155,516,97,1635,77,317
1160,2630,155,516,97,1635,77,317
1017,1911,169,358,97,2539,83,245
1017,1911,169,358,97,2539,83,245
1116,1449,271,335,97,2465,60,165
1116,1449,271,335,97,2465,60,165
943,1487,137,315,97,1611,61,160
943,1487,137,315,97,1611,61,160
923,1316,228,455,97,97,64,148
923,1316,228,455,97,97,64,148
1150,2897,117,264,97,2490,87,412
