Z轴振动速度,X轴振动速度,Z轴加速度峰值,X轴加速度峰值,Z轴峰值速度分量频率Hz,X轴峰值速度分量频率Hz,X轴加速度均方根,温度,湿度,更新时间
,,,,,,,502.0,1149.0,
,,,,,,,390.0,817.0,
,,,,,,,518.0,1744.0,
,,,,,,,311.0,762.0,
,,,,,,,663.0,2815.0,
,,,,,,,1555.0,1522.0,
,,,,,,,820.0,1776.0,
,,,,,,,497.0,841.0,
,,,,,,,133.0,294.0,
,,,,,,,464.0,1215.0,
,,,,,,,431.0,1115.0,
,,,,,,,508.0,1179.0,
,,,,,,,126.0,246.0,
,,,,,,,874.0,1674.0,
,,,,,,,785.0,1615.0,
,,,,,,,908.0,1568.0,
,,,,,,,715.0,1449.0,
,,,,,,,118.0,140.0,
,,,,,,,1795.0,2150.0,
,,,,,,,1795.0,2150.0,
,,,,,,,736.0,1188.0,
,,,,,,,337.0,1024.0,
,,,,,,,563.0,1061.0,
,,,,,,,130.0,202.0,
,,,,,,,130.0,202.0,
,,,,,,,593.0,1833.0,
,,,,,,,576.0,1238.0,
,,,,,,,783.0,1510.0,
,,,,,,,169.0,153.0,
,,,,,,,169.0,153.0,
,,,,,,,9688.0,1948.0,
,,,,,,,477.0,878.0,
,,,,,,,112.0,192.0,
,,,,,,,134.0,259.0,
,,,,,,,637.0,1529.0,
,,,,,,,550.0,1165.0,
,,,,,,,541.0,1119.0,
,,,,,,,96.0,803.0,
,,,,,,,869.0,1616.0,
,,,,,,,643.0,2111.0,
,,,,,,,592.0,1204.0,
,,,,,,,519.0,883.0,
,,,,,,,132.0,604.0,
,,,,,,,597.0,1397.0,
,,,,,,,991.0,2398.0,
,,,,,,,108.0,325.0,
,,,,,,,162.0,368.0,
,,,,,,,821.0,1241.0,
,,,,,,,100.0,322.0,
,,,,,,,155.0,467.0,
,,,,,,,883.0,1744.0,
,,,,,,,146.0,164.0,
,,,,,,,744.0,1797.0,
,,,,,,,737.0,1306.0,
,,,,,,,630.0,1263.0,
,,,,,,,4567.0,1373.0,
,,,,,,,637.0,2116.0,
,,,,,,,1418.0,1910.0,
,,,,,,,578.0,1402.0,
,,,,,,,553.0,1236.0,
,,,,,,,126.0,235.0,
,,,,,,,11807.0,2791.0,
,,,,,,,650.0,1479.0,
,,,,,,,718.0,1468.0,
,,,,,,,695.0,1387.0,
,,,,,,,142.0,317.0,
,,,,,,,12911.0,5928.0,
,,,,,,,749.0,1009.0,
,,,,,,,455.0,880.0,
,,,,,,,555.0,791.0,
,,,,,,,646.0,1154.0,
,,,,,,,177.0,238.0,
,,,,,,,4675.0,3388.0,
,,,,,,,626.0,1154.0,
,,,,,,,809.0,1268.0,
,,,,,,,359.0,960.0,
,,,,,,,125.0,168.0,
,,,,,,,129.0,242.0,
,,,,,,,9414.0,3790.0,
,,,,,,,528.0,1341.0,
,,,,,,,741.0,1290.0,
,,,,,,,595.0,987.0,
,,,,,,,198.0,367.0,
,,,,,,,115.0,145.0,
,,,,,,,614.0,1902.0,
,,,,,,,636.0,1723.0,
,,,,,,,578.0,1558.0,
,,,,,,,700.0,1148.0,
,,,,,,,121.0,317.0,
,,,,,,,159.0,362.0,
,,,,,,,159.0,362.0,
,,,,,,,159.0,362.0,
,,,,,,,531.0,3292.0,
,,,,,,,632.0,1836.0,
,,,,,,,483.0,1092.0,
,,,,,,,623.0,1204.0,
,,,,,,,690.0,1682.0,
,,,,,,,1112.0,1247.0,
,,,,,,,566.0,1026.0,
,,,,,,,604.0,1559.0,
